"code","dep_time","dep_place","arr_time","arr_place","aircraft","time"
"3U 8974","17:55","PVG","21:00","CKG","Airbus A321","['No', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes']"
"3U 8978","17:45","TSA","21:00","CTU","Airbus A321",""
"3U 8980","20:15","TSA","23:20","CKG","Airbus A320",""
"3U 8994","21:30","NKG","00:15","CTU","Airbus A321","['No', 'Yes', 'No', 'Yes', 'No', 'No', 'Yes']"
"3U 8998","12:10","FOC","13:35","CSX","Airbus A321","['No', 'No', 'No', 'Yes', 'No', 'No', 'Yes']"
"5J 301","01:05","TPE","03:45","CEB","Airbus A320",""
"5J 311","01:25","TPE","03:40","MNL","Airbus A330",""
"5J 332","03:50","KLO","04:55","MNL","Airbus A320","['No', 'Yes', 'No', 'No', 'No', 'No', 'No']"
"5J 397","06:45","MNL","08:20","CGY","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 415","04:10","KLO","04:55","CEB","Airbus A320","['Yes', 'No', 'No', 'No', 'No', 'No', 'No']"
"5J 483","06:35","MNL","07:55","BCD","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 551","06:15","MNL","07:40","CEB","Airbus A320","['No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
"5J 555","07:10","MNL","08:30","CEB","Airbus A320","['No', 'Yes', 'No', 'Yes', 'No', 'No', 'No']"
"5J 591","06:30","CEB","07:30","DVO","Airbus A319","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"5J 593","06:50","CEB","07:55","DVO","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"5J 613","05:30","CEB","06:30","DVO","Airbus A320","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"5J 619","06:00","MNL","07:25","TAG","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 625","07:00","MNL","08:25","DGT","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 649","05:40","MNL","07:05","TAC","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 771","07:10","MNL","08:45","PAG","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 813","05:30","MNL","09:05","SIN","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 891","05:45","MNL","06:45","MPH","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 963","07:00","MNL","08:55","DVO","Airbus A320","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"5J 97","00:25","TPE","02:00","KLO","Airbus A320","['No', 'Yes', 'No', 'No', 'No', 'No', 'No']"
"5J 993","06:30","MNL","08:25","GES","Airbus A320","['Yes', 'No', 'No', 'No', 'No', 'No', 'No']"
"8M 332","19:20","BKK","20:05","RGN","Airbus A319","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"8M 338","14:50","BKK","18:30","RGN","Airbus A319","['No', 'No', 'No', 'No', 'No', 'No', 'Yes']"
"8M 712","14:15","CAN","15:50","RGN","Airbus A319","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"8M 9512","14:15","BKK","17:25","KUL","Boeing 737-800","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"9B 9220","08:07","AMS","10:49","BRU","Train","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
"9B 9224","09:07","AMS","11:49","BRU","Train","['No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes']"
"9B 9228","10:07","AMS","12:49","BRU","Train","['No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes']"
"9B 9232","11:07","AMS","13:49","BRU","Train","['No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes']"
"9B 9272","21:07","AMS","23:49","BRU","Train","['Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'No']"
"9C 8591","16:35","PVG","18:35","DLC","Airbus A320","['No', 'No', 'No', 'Yes', 'No', 'Yes', 'No']"
"9C 8869","15:40","PVG","18:50","HRB","Airbus A320","['Yes', 'No', 'Yes', 'No', 'No', 'No', 'No']"
"9C 8878","15:40","KHH","17:50","PVG","Airbus A320","['No', 'No', 'No', 'Yes', 'No', 'Yes', 'No']"
"9C 8952","11:30","TPE","13:35","PVG","Airbus A320",""
"9C 8979","18:15","PVG","21:45","CNX","Airbus A320","['No', 'No', 'Yes', 'No', 'No', 'No', 'No']"
"9C 8995","15:55","PVG","18:55","CKG","Airbus A320","['No', 'No', 'No', 'Yes', 'No', 'Yes', 'No']"
"9W 212","17:45","DEL","20:10","AUH","Boeing 737-800 Winglets","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"9W 308","15:20","DEL","17:30","BOM","Boeing 737-800","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"9W 352","14:00","DEL","16:05","BOM","Boeing 737-900","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"9W 373","16:20","DEL","18:35","BOM","Boeing 737-800","['Yes', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"9W 4200","21:30","KUL","22:45","MAA","Boeing 737","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"9W 4206","22:00","KUL","23:30","BLR","Boeing 737","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"9W 4452","21:15","BKK","00:20","BOM","Airbus A318/319/320/321","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"9W 61","05:55","BKK","08:50","BOM","Boeing 737-800 Winglets","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"9W 63","20:15","BKK","23:25","DEL","Boeing 737-800 Winglets","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"9W 67","20:55","BKK","23:50","BOM","Boeing 737-900","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"9W 69","15:40","BKK","18:40","BOM","Airbus A330-200","['No', 'No', 'No', 'No', 'No', 'No', 'Yes']"
"9W 75","19:45","HKG","23:35","BOM","Airbus A330-200","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
"9W 77","12:10","HKG","15:35","DEL","Airbus A330-200","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
"9W 809","16:25","DEL","19:10","BLR","Boeing 737-800 Winglets","['Yes', 'No', 'Yes', 'No', 'No', 'Yes', 'No']"
"9W 823","14:50","DEL","17:35","BLR","Boeing 737-800 Winglets","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"9W 912","16:05","DEL","19:15","COK","Boeing 737-800 Winglets","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"A3 1830","09:30","FRA","13:15","ATH","Airbus A321","['No', 'No', 'Yes', 'No', 'No', 'No', 'No']"
"A3 3151","07:15","IST","08:40","ATH","Airbus A321","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"A3 3157","07:25","IST","08:45","SKG","Airbus A320","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
"A3 881","10:45","VIE","13:55","ATH","Airbus A320","['No', 'No', 'No', 'No', 'No', 'No', 'Yes']"
"A3 991","10:35","IST","12:00","ATH","De Havilland DHC-8 Dash 8-400 Dash 8Q","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AA 1050","11:20","LAX","14:45","SJD","Boeing 737-800 Winglets","['No', 'No', 'No', 'Yes', 'Yes', 'No', 'No']"
"AA 1135","10:05","LAX","15:00","PVR","Airbus A319","['No', 'No', 'No', 'Yes', 'Yes', 'No', 'No']"
"AA 1369","22:58","LAX","05:43","CUN","Boeing 737-800 Winglets","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
"AA 1542","23:00","LAX","05:44","CUN","Boeing 737-800 Winglets","['No', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No']"
"AA 2545","23:55","LAX","05:40","MEX","Boeing 737-800 Winglets","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No']"
"AA 2546","09:20","LAX","15:33","MEX","Boeing 737-800 Winglets","['No', 'No', 'No', 'Yes', 'Yes', 'No', 'No']"
"AA 2563","11:30","LAX","14:04","SJD","Boeing 737-800 Winglets","['Yes', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AA 2681","12:29","JFK","16:53","CUN","Boeing 737-800 Winglets","['No', 'No', 'No', 'No', 'Yes', 'Yes', 'No']"
"AA 7643","00:45","JFK","06:25","GYE","Boeing 767-300","['No', 'No', 'No', 'No', 'Yes', 'Yes', 'No']"
"AA 7650","00:35","JFK","06:30","GYE","Boeing 767-300","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AA 7715","01:15","JFK","07:55","LIM","Boeing 787-8","['Yes', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AA 7739","23:20","JFK","06:00","LIM","Boeing 787-900","['No', 'No', 'No', 'No', 'Yes', 'Yes', 'No']"
"AB 1731","21:25","FCO","23:00","GVA","Embraer 175","['Yes', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AB 2714","08:55","VIE","12:15","AGP","Airbus A320","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AB 4015","23:55","ICN","05:30","AUH","Airbus A340-600","['Yes', 'No', 'No', 'No', 'No', 'No', 'No']"
"AB 4025","20:10","BKK","00:05","AUH","Boeing 777-300ER","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']"
